mM	1		2		3		4	mM	9		10		11		12	
100	0.8543	110816_Lcrisp	0.0645	111916_L_lacticcacid_1	0.0497	V_D	0.9803	100	0.8669	110816_Lcrisp	0.0671	111916_L_lacticcacid_1	0.0983	V_D	0.3639	
80	0.7722	110816_Liners	0.0474	111916_L_lacticcacid_08	0.0494	V_L	0.0587	80	0.9107	110816_Liners	0.0732	111916_L_lacticcacid_08	0.0918	V_L	1.0045	
60	0.5745	110816_Gvag	0.0487	V_D_1_10	0.3342	V_lin	0.097	60	0.6751	110816_Gvag	0.0605	V_D_1_10	0.0961	V_lin	0.6351	
40	0.4236	111516_Lcrisp	0.0565	V_L_1_10	0.0482			40	0.5628	111516_Lcrisp	0.0623	V_L_1_10	0.3878			
30	0.3382	111516_Liners	0.0491	V_lin_1_10	0.0511			30	0.4346	111516_Liners	0.0656	V_lin_1_10	0.1392			
20	0.2194	111516_Gvag	0.0489	V_D_1_100	0.0876			20	0.2868	111516_Gvag	0.0721	V_D_1_100	0.0604			
10	0.1527	111916_D_lacticcacid_1	0.1053	V_L_1_100	0.0519			10	0.183	111916_D_lacticcacid_1	0.0525	V_L_1_100	0.0966			
0	0.0476	111916_D_lacticcacid_08	0.0815	V_lin_1_100	0.0513			0	0.0517	111916_D_lacticcacid_08	0.0522	V_lin_1_100	0.0607			
																
																
	1		2		3		4		9		10		11		12	
100	2.5962	1.7419	0.1392	0.0747	0.0521	0.0024	3.8154	2.8351	3.148	2.2811	0.1729	0.1058	0.3905	0.2922	2.1923	1.8284
80	2.256	1.4838	0.0513	0.0039	0.0513	0.0019	0.1374	0.0787	3.0784	2.1677	0.2102	0.137	0.3292	0.2374	4	2.9955
60	1.8537	1.2792	0.0506	0.0019	1.5262	1.192	0.3649	0.2679	2.52	1.8449	0.1027	0.0422	0.3723	0.2762	3.7408	3.1057
40	1.4552	1.0316	0.0888	0.0323	0.0597	0.0115			1.964	1.4012	0.1227	0.0604	1.9874	1.5996		
30	1.1463	0.8081	0.0502	0.0011	0.0653	0.0142			1.6262	1.1916	0.1409	0.0753	0.5833	0.4441		
20	0.774	0.5546	0.0504	0.0015	0.2919	0.2043			1.2009	0.9141	0.1288	0.0567	0.1151	0.0547		
10	0.5227	0.37	0.2756	0.1703	0.0515	-0.0004			0.7695	0.5865	0.0628	0.0103	0.3811	0.2845		
0	0.0492	0.0016	0.2085	0.127	0.0542	0.0029			0.0614	0.0097	0.0635	0.0113	0.1358	0.0751		
																
			D													
		110816_Lcrisp	-8.096969697													
		110816_Liners	-12.38787879													
		110816_Gvag	-12.50909091													
		111516_Lcrisp	-10.66666667													
		111516_Liners	-12.55757576													
		111516_Gvag	-12.53333333													
		111916_D_lacticcacid_1	-2.303030303													
		111916_D_lacticcacid_08	-4.927272727													
